0.003237526,-0.281545128,0.664748322,0.787211683,0.002678079,-0.061015008,-0.613651173,-1.309268691,-0.017968906,-0.096326588,1.297555101,0.019024083,-0.016159270,-1.323337870,-0.302542102,0.112671879,1.375501589,0.009518010,0.001750581,-0.168670630,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000513097,-0.283408480,0.661874593,0.758109642,0.011978489,-0.051079008,-0.650013247,-1.337955341,0.077637019,-0.096533760,1.311471815,0.016727117,-0.014394701,-1.361043892,-0.182877478,0.159841133,1.382374416,0.011024471,-0.000866240,-0.087688577,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000201460,-0.283747465,0.661970269,0.749575530,0.014730501,-0.046780655,-0.660099317,-1.356348114,0.122086434,-0.073607347,1.330875319,0.016255992,-0.013964054,-1.366386088,-0.154571539,0.171331555,1.371323707,0.010790127,-0.001907833,-0.057911361,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000422512,-0.283673980,0.661871972,0.746268834,0.015900029,-0.047897507,-0.663728744,-1.359198379,0.136212725,-0.063321715,1.336264149,0.015220902,-0.012828649,-1.368157440,-0.148683300,0.180367509,1.368649805,0.010150441,-0.002476975,-0.046177825,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000426915,-0.283614158,0.661900270,0.744986815,0.015860946,-0.048279903,-0.665140682,-1.357228353,0.140114657,-0.061455597,1.337393831,0.014888457,-0.011553224,-1.366288357,-0.145896926,0.184142895,1.365708728,0.009597404,-0.002509964,-0.043745283,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000376451,-0.283595688,0.661918960,0.744465437,0.015265711,-0.049164225,-0.665673381,-1.353792040,0.140414183,-0.060718698,1.338872274,0.014650968,-0.010333571,-1.364334202,-0.144017873,0.187578473,1.367906077,0.009145236,-0.002391429,-0.043262231,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000307056,-0.283659469,0.661976809,0.744278099,0.015457368,-0.049061224,-0.665886009,-1.351899293,0.140055526,-0.060469486,1.338451183,0.014468662,-0.009028950,-1.364183134,-0.143274939,0.188981463,1.367750425,0.008610782,-0.002107914,-0.043771549,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000224492,-0.283757327,0.661980406,0.744208289,0.015459112,-0.048644940,-0.665994526,-1.351915851,0.139656437,-0.060912422,1.339855261,0.014223785,-0.007758047,-1.365866395,-0.142378485,0.189406031,1.370116227,0.008023963,-0.001804046,-0.044879798,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000139426,-0.283738526,0.661977199,0.744134254,0.014170433,-0.048960771,-0.666082768,-1.349406525,0.139200023,-0.062441061,1.341978943,0.014020512,-0.006519052,-1.363778749,-0.141513088,0.188581089,1.371767275,0.007450123,-0.001484740,-0.045252937,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
-0.000058402,-0.283848083,0.661991627,0.744186699,0.014522681,-0.048151945,-0.666075551,-1.350288865,0.138719980,-0.062626956,1.342821439,0.013794008,-0.005283444,-1.366176985,-0.140885791,0.188478703,1.373253263,0.006857869,-0.001140051,-0.045322875,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000025233,-0.283899563,0.661973649,0.744205696,0.014306006,-0.047772132,-0.666086363,-1.350428117,0.138231689,-0.063145695,1.344647271,0.013550355,-0.004076830,-1.367300482,-0.140309783,0.187985617,1.375023541,0.006256681,-0.000807108,-0.045707120,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000105013,-0.283952536,0.661974754,0.744263557,0.014213587,-0.047258380,-0.666060340,-1.350584855,0.137780073,-0.063422749,1.345760225,0.013304238,-0.002888490,-1.368236953,-0.139744399,0.187565982,1.376040385,0.005674822,-0.000471135,-0.045605645,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000176639,-0.283962439,0.661975800,0.744305692,0.013879527,-0.047218188,-0.666023151,-1.349558685,0.137161820,-0.063474581,1.346899517,0.013063765,-0.001708633,-1.367977962,-0.139349094,0.187489491,1.376763888,0.005094686,-0.000148539,-0.045631393,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.000246574,-0.284021702,0.661993282,0.744431652,0.014061979,-0.046587906,-0.665922926,-1.349839471,0.136745559,-0.063275104,1.347276746,0.012823826,-0.000517532,-1.369067921,-0.138984057,0.187282221,1.376961922,0.004516912,0.000191809,-0.045381444,0.523599000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
